graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate,layer_role,score,confidence_bucket,research_action
dtw_trade_flow_similarity_graph,edge_density_feature,30m,member_weight,1997,0.037928193442621,-0.0005084093320394,-0.0007466106230919,0.0002382012910524,0.4773869346733668,pair_flow_leadlag_candidate,0.1251856239888198,watch,watch
dtw_return_similarity_graph,edge_density_feature,15m,top5_member,4216,0.0337086846267668,-0.0003224528686802,-0.0010892276407084,0.0007667747720281,0.4726840855106888,weak_pair_candidate,0.12219410315750402,usable,keep_for_next_round
volume_expansion_graph,edge_density_feature,30m,equal_weight,23969,0.0275384206659654,0.0020741854360234,-0.0017711677096487,0.0038453531456722,0.4891485809682804,theme_candidate_layer,0.12060914069850041,strong_sample,prioritize_for_next_round
volume_expansion_graph,edge_density_feature,30m,member_weight,23969,0.0275384206659654,0.0020741854360234,-0.0017711677096487,0.0038453531456722,0.4891485809682804,theme_candidate_layer,0.12060914069850041,strong_sample,prioritize_for_next_round
large_trade_alignment_graph,community_member_count,5m,equal_weight,45,-0.0719156446274241,-0.0024484468237383,-0.0026346120758416,0.0001861652521033,0.0,sparse_event_flag,0.11957830132467834,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,5m,member_weight,45,-0.0719156446274241,-0.0024484468237383,-0.0026346120758416,0.0001861652521033,0.0,sparse_event_flag,0.11957830132467834,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,5m,top10_member,45,-0.0719156446274241,-0.0024484468237383,-0.0026346120758416,0.0001861652521033,0.0,sparse_event_flag,0.11957830132467834,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,5m,equal_weight,45,0.0719156446274241,-0.0009410656771551,-0.0024484468237383,0.0015073811465832,0.25,sparse_event_flag,0.11957830132467834,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,5m,member_weight,45,0.0719156446274241,-0.0009410656771551,-0.0024484468237383,0.0015073811465832,0.25,sparse_event_flag,0.11957830132467834,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,5m,top10_member,45,0.0719156446274241,-0.0009410656771551,-0.0024484468237383,0.0015073811465832,0.25,sparse_event_flag,0.11957830132467834,ignore,ignore_sparse
