strategy_id,entry_standard,exit_standard,holding_policy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trade_count,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
E5_X1_H3,Expansion Entry,No Signal Exit,Fixed 5D,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X1_H4,Expansion Entry,No Signal Exit,Fixed 10D,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X1_H5,Expansion Entry,No Signal Exit,Event-driven Hold,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X1_H6,Expansion Entry,No Signal Exit,Min-hold + Signal Exit,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X2_H6,Expansion Entry,Lifecycle Exit,Min-hold + Signal Exit,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X3_H2,Expansion Entry,Coherence Breakdown,Fixed 3D,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X3_H3,Expansion Entry,Coherence Breakdown,Fixed 5D,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X3_H4,Expansion Entry,Coherence Breakdown,Fixed 10D,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X3_H5,Expansion Entry,Coherence Breakdown,Event-driven Hold,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X3_H6,Expansion Entry,Coherence Breakdown,Min-hold + Signal Exit,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X5_H6,Expansion Entry,Relative Strength Exit,Min-hold + Signal Exit,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X6_H6,Expansion Entry,Rotation-out Exit,Min-hold + Signal Exit,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X7_H6,Expansion Entry,Composite Structural Exit,Min-hold + Signal Exit,0.169776454191644,0.93211101669361,0.16893633452583567,3.987816741390127,-0.055548169201180886,0.6326530612244898,49,1.1020408163265305,0.02040816326530612,0.0,0.0
E5_X6_H2,Expansion Entry,Rotation-out Exit,Fixed 3D,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
