graph_layer,layer_role,factor_name,label_horizon,label_variant,first_sample_size,first_rank_ic,first_top_bottom_spread,first_top_decile_hit_rate,first_score,first_confidence_bucket,first_research_action,second_sample_size,second_rank_ic,second_top_bottom_spread,second_top_decile_hit_rate,second_score,second_confidence_bucket,second_research_action,first_window_id,second_window_id,first_score_sign,second_score_sign,score_direction_consistent,rank_ic_direction_consistent,sample_qualified_both,research_action_consistent,score_delta,sample_size_delta,stability_bucket,research_decision
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,15m,equal_weight,1997,0.0480193516185633,0.0007852018465299,0.5728643216080402,0.1584924550915542,watch,watch,1639,0.0148078132033403,0.0008065931374911,0.5337423312883436,0.047604807179798,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,True,False,True,-0.1108876479117562,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,1m,equal_weight,1999,0.0270084509424445,0.0005860596662633,0.5628140703517588,0.0891557066974284,watch,watch,1640,-0.0100316400689442,0.000704156891967,0.5365853658536586,0.0322528120676985,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,False,False,True,-0.056902894629729896,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,30m,equal_weight,1997,0.0193508681915278,0.0019990504035373,0.4824120603015075,0.0638693881623066,watch,watch,1638,0.0182286968029021,-0.0003752729872569,0.5705521472392638,-0.0585975850936269,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,-1,False,True,False,True,-0.1224669732559335,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,5m,equal_weight,1998,-0.0019172971209527,-0.0002852980445345,0.5678391959798995,-0.0063286388669665,watch,watch,1640,0.033508914453612,0.0014463037507626,0.5304878048780488,0.1077347984015819,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,False,False,True,0.1140634372685484,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,15m,member_weight,1997,0.0480193516185633,0.0007852018465299,0.5728643216080402,0.1584924550915542,watch,watch,1639,0.0148078132033403,0.0008065931374911,0.5337423312883436,0.047604807179798,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,True,False,True,-0.1108876479117562,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,1m,member_weight,1999,0.0270084509424445,0.0005860596662633,0.5628140703517588,0.0891557066974284,watch,watch,1640,-0.0100316400689442,0.000704156891967,0.5365853658536586,0.0322528120676985,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,False,False,True,-0.056902894629729896,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,30m,member_weight,1997,0.0193508681915278,0.0019990504035373,0.4824120603015075,0.0638693881623066,watch,watch,1638,0.0182286968029021,-0.0003752729872569,0.5705521472392638,-0.0585975850936269,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,-1,False,True,False,True,-0.1224669732559335,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,5m,member_weight,1998,-0.0019172971209527,-0.0002852980445345,0.5678391959798995,-0.0063286388669665,watch,watch,1640,0.033508914453612,0.0014463037507626,0.5304878048780488,0.1077347984015819,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,False,False,True,0.1140634372685484,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,15m,top10_member,1997,0.046100076097532,0.0007352950275381,0.5527638190954773,0.1521577029744977,watch,watch,1639,0.0113394217657437,0.0006701794880935,0.50920245398773,0.0364544703040193,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,True,False,True,-0.11570323267047841,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,1m,top10_member,1999,0.0258348513790189,0.0005762077885934,0.5527638190954773,0.0852816193356623,watch,watch,1640,-0.0136816601167692,0.0006738988947607,0.5304878048780488,0.0439880228444765,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,False,False,True,-0.04129359649118581,-359,insufficient_sample,needs_more_sample
