graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate
flow_alignment_graph,flow_member_count_z,1m,equal_weight,27127,0.010659178751515761,6.815214543734768e-05,-0.0001513456058123936,0.00021949775124974126,0.5051622418879056
flow_alignment_graph,flow_member_count_z,5m,equal_weight,27044,0.011220737971687112,-1.0343271424545353e-05,-0.00011135868253505048,0.00010101541111050513,0.4918639053254438
flow_alignment_graph,flow_member_count_z,15m,equal_weight,26980,0.027792958474579663,5.654187278614714e-05,-0.00014377793583045454,0.00020031980861660167,0.5114899925871016
flow_alignment_graph,flow_member_count_z,30m,equal_weight,26903,0.016067140844699908,9.27637803726994e-05,-0.00031992862953726274,0.00041269240990996213,0.5059479553903345
flow_alignment_graph,flow_member_count_z,1m,member_weight,27127,0.010659178751515761,6.815214543734768e-05,-0.0001513456058123936,0.00021949775124974126,0.5051622418879056
flow_alignment_graph,flow_member_count_z,5m,member_weight,27044,0.011220737971687112,-1.0343271424545353e-05,-0.00011135868253505048,0.00010101541111050513,0.4918639053254438
flow_alignment_graph,flow_member_count_z,15m,member_weight,26980,0.027792958474579663,5.654187278614714e-05,-0.00014377793583045454,0.00020031980861660167,0.5114899925871016
flow_alignment_graph,flow_member_count_z,30m,member_weight,26903,0.016067140844699908,9.27637803726994e-05,-0.00031992862953726274,0.00041269240990996213,0.5059479553903345
flow_alignment_graph,flow_member_count_z,1m,top5_member,27127,0.008183449349137563,0.00011835084919142135,-0.0001513456058123936,0.00026969645500381494,0.49078171091445427
flow_alignment_graph,flow_member_count_z,5m,top5_member,26971,0.01062441215002469,0.00010132788628659777,-0.00010289581252462859,0.00020422369881122635,0.4957360029662588
flow_alignment_graph,flow_member_count_z,15m,top5_member,26603,0.014092389601616363,9.835955572887813e-05,-0.00023583716844260285,0.00033419672417148096,0.48120300751879697
flow_alignment_graph,flow_member_count_z,30m,top5_member,25912,0.008922210515850014,0.0001673113411219098,-0.000646296401026384,0.0008136077421482938,0.4862987263604786
flow_alignment_graph,flow_member_count_z,1m,top10_member,27127,0.007247281828088917,9.880527042628853e-05,-0.0001513456058123936,0.0002501508762386821,0.5014749262536873
flow_alignment_graph,flow_member_count_z,5m,top10_member,27025,0.010761408359160786,8.975138206622924e-05,-5.2882208813550137e-05,0.00014263359087977938,0.5074019245003701
flow_alignment_graph,flow_member_count_z,15m,top10_member,26802,0.01788981641467295,0.00012431452506537547,-0.0002129258426699516,0.00033724036773532704,0.5033582089552239
flow_alignment_graph,flow_member_count_z,30m,top10_member,26322,0.009068757177777068,0.00014100251242628534,-0.0002939594482033371,0.0004349619606296225,0.4848024316109423
flow_alignment_graph,flow_member_count_z,1m,core_weighted,27127,0.010385559055085874,6.753178276789601e-05,-0.00016559517456136972,0.00023312695732926572,0.5051622418879056
flow_alignment_graph,flow_member_count_z,5m,core_weighted,27044,0.010239942776898782,-1.0943156506571409e-05,-0.0001207587351378672,0.0001098155786312958,0.4907544378698225
flow_alignment_graph,flow_member_count_z,15m,core_weighted,26980,0.027140610348430842,6.17462436672247e-05,-0.00015905055191523044,0.00022079679558245516,0.508524833209785
flow_alignment_graph,flow_member_count_z,30m,core_weighted,26903,0.015999792418876748,0.00010987694259827663,-0.00032355501220479414,0.00043343195480307077,0.5022304832713754
flow_alignment_graph,flow_layer_participation_ratio,1m,equal_weight,27127,-0.006966021629670218,8.388741341563117e-05,0.00010075247276438573,-1.6865059348754557e-05,0.4664454277286136
flow_alignment_graph,flow_layer_participation_ratio,5m,equal_weight,27044,-0.003322044309422394,-0.0001271182280722,0.0004417374735713294,-0.0005688557016435294,0.4718934911242604
flow_alignment_graph,flow_layer_participation_ratio,15m,equal_weight,26980,-0.004854661888027761,-6.630964129151205e-05,0.00024553714130176905,-0.0003118467825932811,0.48962194217939214
flow_alignment_graph,flow_layer_participation_ratio,30m,equal_weight,26903,-0.01193727951874213,5.7099354331457306e-05,4.047800440417237e-05,1.662134992728494e-05,0.4933085501858736
flow_alignment_graph,flow_layer_participation_ratio,1m,member_weight,27127,-0.006966021629670218,8.388741341563117e-05,0.00010075247276438573,-1.6865059348754557e-05,0.4664454277286136
flow_alignment_graph,flow_layer_participation_ratio,5m,member_weight,27044,-0.003322044309422394,-0.0001271182280722,0.0004417374735713294,-0.0005688557016435294,0.4718934911242604
flow_alignment_graph,flow_layer_participation_ratio,15m,member_weight,26980,-0.004854661888027761,-6.630964129151205e-05,0.00024553714130176905,-0.0003118467825932811,0.48962194217939214
flow_alignment_graph,flow_layer_participation_ratio,30m,member_weight,26903,-0.01193727951874213,5.7099354331457306e-05,4.047800440417237e-05,1.662134992728494e-05,0.4933085501858736
flow_alignment_graph,flow_layer_participation_ratio,1m,top5_member,27127,-0.00570852906062031,6.105758280158388e-05,7.218997804350534e-05,-1.1132395241921454e-05,0.4859882005899705
flow_alignment_graph,flow_layer_participation_ratio,5m,top5_member,26971,-0.007696017690244861,-0.0001859059614753634,0.000459221231417643,-0.0006451271928930064,0.44456803856136445
flow_alignment_graph,flow_layer_participation_ratio,15m,top5_member,26603,-0.0014419678963054094,-0.000268700434052475,0.00017044563372907716,-0.00043914606778155214,0.4488721804511278
flow_alignment_graph,flow_layer_participation_ratio,30m,top5_member,25912,-0.008569314826882373,-0.00013729003411003395,-0.000631395793652857,0.0004941057595428231,0.4654573523736009
flow_alignment_graph,flow_layer_participation_ratio,1m,top10_member,27127,-0.012226711414110854,5.242141335061023e-05,6.930782582932351e-05,-1.6886412478713282e-05,0.474188790560472
flow_alignment_graph,flow_layer_participation_ratio,5m,top10_member,27025,-0.011211736432980107,-0.00022571900495439978,0.00038218769507592166,-0.0006079067000303214,0.44226498889711324
flow_alignment_graph,flow_layer_participation_ratio,15m,top10_member,26802,-0.0025530456551927714,-0.0002417456264493062,0.00014251132350981633,-0.0003842569499591225,0.4455223880597015
flow_alignment_graph,flow_layer_participation_ratio,30m,top10_member,26322,-0.008465318456261575,-5.5079636267181214e-05,-0.0007996617773199271,0.0007445821410527459,0.4703647416413374
flow_alignment_graph,flow_layer_participation_ratio,1m,core_weighted,27127,-0.007011716632159913,8.09734397578669e-05,9.746308216057107e-05,-1.6489642402704163e-05,0.4638643067846608
flow_alignment_graph,flow_layer_participation_ratio,5m,core_weighted,27044,-0.004002456203424698,-0.0001322813312987982,0.000469716179795339,-0.0006019975110941372,0.46708579881656803
flow_alignment_graph,flow_layer_participation_ratio,15m,core_weighted,26980,-0.00529695269958908,-6.975583801423914e-05,0.0003011535119399262,-0.0003709093499541653,0.48665678280207564
flow_alignment_graph,flow_layer_participation_ratio,30m,core_weighted,26903,-0.010699202884874612,8.25637002044121e-05,8.757867270071782e-05,-5.0149724963057234e-06,0.4955390334572491
flow_alignment_graph,flow_breadth_expansion,1m,equal_weight,27127,-0.006143155394897055,-2.6547775052280244e-05,0.0002513813915691759,-0.00027792916662145616,0.48930678466076694
flow_alignment_graph,flow_breadth_expansion,5m,equal_weight,27044,-0.026407925315478347,-0.0004827112377101203,0.0006156549130280293,-0.0010983661507381495,0.47004437869822485
flow_alignment_graph,flow_breadth_expansion,15m,equal_weight,26980,-0.026982238989893804,-0.0004109548301615879,0.0009605735911380434,-0.0013715284212996314,0.4633061527057079
flow_alignment_graph,flow_breadth_expansion,30m,equal_weight,26903,0.0055108940041638885,-2.7762342444912265e-06,0.0015461903920995488,-0.0015489666263440401,0.5234200743494424
flow_alignment_graph,flow_breadth_expansion,1m,member_weight,27127,-0.006143155394897055,-2.6547775052280244e-05,0.0002513813915691759,-0.00027792916662145616,0.48930678466076694
