run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,summary_edge_count,summary_node_count,summary_avg_weight,summary_median_weight,summary_p90_weight,threshold,top_k_per_symbol,effective_lookback_minutes,active_node_count,average_degree,degree_p50,degree_p95,max_degree,average_edge_weight,edge_weight_p50,edge_weight_p90,support_points_p50,support_points_p90,community_count,community_size_p50,community_size_p95,community_size_max,singleton_community_count,largest_community_ratio,has_market_mode_cluster
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1910,2025-01-31,2025-02-01 03:10:00,1910,280,flow_alignment_graph,5096,3434,0.8080199483670684,0.8038879896748363,0.8728806467400128,,,,3434,2.9679673849737913,3.0,6.0,6,0.8080199483670684,0.8038879896748363,0.8727911172523793,9.0,17.0,4,2.0,2914.099999999999,3428,0,0.9982527664531159,true
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1910,2025-01-31,2025-02-01 03:10:00,1910,280,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1910,2025-01-31,2025-02-01 03:10:00,1910,280,return_corr_graph,3208,2588,0.8499089836391591,0.8505245395752965,0.9234087645575135,,,,2588,2.479134466769706,2.0,6.0,6,0.8499089836391591,0.8505245395752965,0.9234107871182557,10.0,16.0,29,2.0,11.199999999999985,2494,0,0.9636785162287481,true
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1910,2025-01-31,2025-02-01 03:10:00,1910,280,volume_expansion_graph,105,150,0.9048565862213286,0.8332741252056326,1.0,,,,150,1.4,1.0,4.549999999999983,6,0.9048565862213286,0.8332741252056326,1.0,3.0,3.0,45,2.0,7.799999999999997,14,0,0.09333333333333334,false
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1915,2025-01-31,2025-02-01 03:15:00,1915,285,dtw_return_similarity_graph,277,159,1.0,1.0,1.0,,,30,159,3.4842767295597485,3.0,6.0,6,1.0,1.0,1.0,1.0,1.0,4,37.5,49.49999999999999,51,0,0.32075471698113206,true
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1915,2025-01-31,2025-02-01 03:15:00,1915,285,dtw_trade_flow_similarity_graph,363,209,1.0,1.0,1.0,,,30,209,3.473684210526316,3.0,6.0,6,1.0,1.0,1.0,1.0,1.0,9,6.0,63.99999999999999,74,0,0.35406698564593303,true
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1915,2025-01-31,2025-02-01 03:15:00,1915,285,flow_alignment_graph,5099,3467,0.8078473972875934,0.8030001942200911,0.874674686451796,,,,3467,2.9414479376982983,3.0,6.0,6,0.8078473972875934,0.8030001942200911,0.8746791588609778,9.0,17.0,7,2.0,2418.6999999999975,3454,0,0.9962503605422556,true
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1915,2025-01-31,2025-02-01 03:15:00,1915,285,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1915,2025-01-31,2025-02-01 03:15:00,1915,285,return_corr_graph,3167,2582,0.8508050262871347,0.8518789548882497,0.9243973189156524,,,,2582,2.453137103020914,2.0,6.0,6,0.8508050262871347,0.8518789548882497,0.9244591498787169,10.0,17.0,29,3.0,11.99999999999999,2483,0,0.9616576297443842,true
full-market-graph-build-v2_2025-01-31,full-market-graph-build-v2_2025-01-31_2025-01-31_1915,2025-01-31,2025-02-01 03:15:00,1915,285,volume_expansion_graph,87,119,0.8986233708292286,0.8325384050420591,1.0,,,,119,1.4621848739495797,1.0,4.0,6,0.8986233708292286,0.8325384050420591,1.0,3.0,3.0,32,2.0,9.799999999999997,20,0,0.16806722689075632,true
